timestamp,timestamp_ms,method,scenario,est_x,est_y,gt_x,gt_y,error_m,raw_error_m,is_outlier
2026-04-01T21:31:34.214Z,1775079094214,rssi,Tag in the middle - C3,5.9300,3.4200,4.8000,4.7700,1.7605,1.7605,0
2026-04-01T21:31:35.008Z,1775079095008,rssi,Tag in the middle - C3,6.6300,2.4100,4.8000,4.7700,2.9864,2.9864,0
2026-04-01T21:31:35.556Z,1775079095556,raw,Tag in the middle - C3,5.9300,3.4200,4.8000,4.7700,1.7605,1.7605,0
2026-04-01T21:31:36.117Z,1775079096117,raw,Tag in the middle - C3,6.6000,2.4300,4.8000,4.7700,2.9522,2.9522,0
2026-04-01T21:31:36.686Z,1775079096686,kalman,Tag in the middle - C3,5.8700,3.4000,4.8000,4.7700,1.7383,1.7383,0
2026-04-01T21:31:37.264Z,1775079097264,kalman,Tag in the middle - C3,6.5300,2.4200,4.8000,4.7700,2.9181,2.9181,0
2026-04-01T21:31:37.830Z,1775079097830,fp,Tag in the middle - C3,4.3050,6.9545,4.8000,4.7700,2.2399,2.2399,0
2026-04-01T21:31:38.392Z,1775079098392,gp,Tag in the middle - C3,3.2200,5.5900,4.8000,4.7700,1.7801,1.7801,0
2026-04-01T21:31:38.954Z,1775079098954,rssi,Tag in the middle - C3,5.9900,3.4000,4.8000,4.7700,1.8147,1.8147,0
2026-04-01T21:31:39.713Z,1775079099713,rssi,Tag in the middle - C3,6.6300,2.4100,4.8000,4.7700,2.9864,2.9864,0
2026-04-01T21:31:40.524Z,1775079100524,raw,Tag in the middle - C3,5.9300,3.4200,4.8000,4.7700,1.7605,1.7605,0
2026-04-01T21:31:41.104Z,1775079101104,raw,Tag in the middle - C3,6.6000,2.4300,4.8000,4.7700,2.9522,2.9522,0
2026-04-01T21:31:41.675Z,1775079101675,kalman,Tag in the middle - C3,5.9000,3.4100,4.8000,4.7700,1.7492,1.7492,0
2026-04-01T21:31:42.433Z,1775079102433,kalman,Tag in the middle - C3,6.5600,2.4200,4.8000,4.7700,2.9360,2.9360,0
2026-04-01T21:31:43.017Z,1775079103017,fp,Tag in the middle - C3,4.3050,6.9545,4.8000,4.7700,2.2399,2.2399,0
2026-04-01T21:31:43.609Z,1775079103609,gp,Tag in the middle - C3,3.2200,5.5900,4.8000,4.7700,1.7801,1.7801,0
2026-04-01T21:33:16.399Z,1775079196399,rssi,Tag in the middle - C3,6.0800,3.3900,4.8000,4.7700,1.8822,1.8822,0
2026-04-01T21:33:17.208Z,1775079197208,rssi,Tag in the middle - C3,6.7000,2.5700,4.8000,4.7700,2.9069,2.9069,0
2026-04-01T21:33:17.774Z,1775079197774,raw,Tag in the middle - C3,6.0500,3.4400,4.8000,4.7700,1.8252,1.8252,0
2026-04-01T21:33:18.346Z,1775079198346,raw,Tag in the middle - C3,6.7300,2.4400,4.8000,4.7700,3.0255,3.0255,0
2026-04-01T21:33:18.930Z,1775079198930,kalman,Tag in the middle - C3,6.0200,3.5000,4.8000,4.7700,1.7611,1.7611,0
2026-04-01T21:33:19.709Z,1775079199709,kalman,Tag in the middle - C3,6.6900,2.5000,4.8000,4.7700,2.9538,2.9538,0
2026-04-01T21:33:20.298Z,1775079200298,fp,Tag in the middle - C3,4.3050,6.9545,4.8000,4.7700,2.2399,2.2399,0
2026-04-01T21:33:20.864Z,1775079200864,gp,Tag in the middle - C3,3.2700,5.7500,4.8000,4.7700,1.8169,1.8169,0
2026-04-01T21:33:21.635Z,1775079201635,rssi,Tag in the middle - C3,5.9800,3.7600,4.8000,4.7700,1.5532,1.5532,0
2026-04-01T21:33:22.221Z,1775079202221,rssi,Tag in the middle - C3,6.6800,2.6000,4.8000,4.7700,2.8711,2.8711,0
2026-04-01T21:33:22.803Z,1775079202803,raw,Tag in the middle - C3,6.0500,3.4400,4.8000,4.7700,1.8252,1.8252,0
2026-04-01T21:33:23.382Z,1775079203382,raw,Tag in the middle - C3,6.7300,2.4400,4.8000,4.7700,3.0255,3.0255,0
2026-04-01T21:33:23.947Z,1775079203947,kalman,Tag in the middle - C3,6.0300,3.4800,4.8000,4.7700,1.7824,1.7824,0
2026-04-01T21:33:24.514Z,1775079204514,kalman,Tag in the middle - C3,6.7100,2.4800,4.8000,4.7700,2.9820,2.9820,0
2026-04-01T21:33:25.088Z,1775079205088,fp,Tag in the middle - C3,4.3050,6.9545,4.8000,4.7700,2.2399,2.2399,0
2026-04-01T21:33:25.671Z,1775079205671,gp,Tag in the middle - C3,3.2700,5.7500,4.8000,4.7700,1.8169,1.8169,0
2026-04-01T21:35:28.272Z,1775079328272,rssi,Tag in the middle - C3,5.9700,3.0800,4.8000,4.7700,2.0555,2.0555,0
2026-04-01T21:35:28.859Z,1775079328859,rssi,Tag in the middle - C3,6.6400,2.0900,4.8000,4.7700,3.2508,3.2508,0
2026-04-01T21:35:29.659Z,1775079329659,raw,Tag in the middle - C3,5.9700,3.0800,4.8000,4.7700,2.0555,2.0555,0
2026-04-01T21:35:30.288Z,1775079330288,raw,Tag in the middle - C3,6.6400,2.0900,4.8000,4.7700,3.2508,3.2508,0
2026-04-01T21:35:30.889Z,1775079330889,kalman,Tag in the middle - C3,5.9700,3.0800,4.8000,4.7700,2.0555,2.0555,0
2026-04-01T21:35:31.625Z,1775079331625,kalman,Tag in the middle - C3,6.6400,2.0900,4.8000,4.7700,3.2508,3.2508,0
2026-04-01T21:35:32.244Z,1775079332244,fp,Tag in the middle - C3,4.3050,6.9545,4.8000,4.7700,2.2399,2.2399,0
2026-04-01T21:35:32.819Z,1775079332819,gp,Tag in the middle - C3,3.0500,5.8300,4.8000,4.7700,2.0460,2.0460,0
2026-04-01T21:35:33.395Z,1775079333395,rssi,Tag in the middle - C3,5.9700,3.0800,4.8000,4.7700,2.0555,2.0555,0
2026-04-01T21:35:33.952Z,1775079333952,rssi,Tag in the middle - C3,6.6400,2.0900,4.8000,4.7700,3.2508,3.2508,0
2026-04-01T21:35:34.716Z,1775079334716,raw,Tag in the middle - C3,5.9700,3.0800,4.8000,4.7700,2.0555,2.0555,0
2026-04-01T21:35:35.491Z,1775079335491,raw,Tag in the middle - C3,6.6400,2.0900,4.8000,4.7700,3.2508,3.2508,0
2026-04-01T21:35:36.072Z,1775079336072,kalman,Tag in the middle - C3,5.9700,3.0800,4.8000,4.7700,2.0555,2.0555,0
2026-04-01T21:35:36.634Z,1775079336634,kalman,Tag in the middle - C3,6.6400,2.0900,4.8000,4.7700,3.2508,3.2508,0
2026-04-01T21:35:37.213Z,1775079337213,fp,Tag in the middle - C3,4.3050,6.9545,4.8000,4.7700,2.2399,2.2399,0
2026-04-01T21:35:37.800Z,1775079337800,gp,Tag in the middle - C3,3.0500,5.8300,4.8000,4.7700,2.0460,2.0460,0
2026-04-01T21:36:47.567Z,1775079407567,rssi,Tag in the middle - C3,6.0100,3.0100,4.8000,4.7700,2.1358,2.1358,0
2026-04-01T21:36:48.363Z,1775079408363,rssi,Tag in the middle - C3,6.7400,1.9500,4.8000,4.7700,3.4229,3.4229,0
2026-04-01T21:36:49.148Z,1775079409148,raw,Tag in the middle - C3,6.0100,3.0100,4.8000,4.7700,2.1358,2.1358,0
2026-04-01T21:36:49.752Z,1775079409752,raw,Tag in the middle - C3,6.6900,2.0200,4.8000,4.7700,3.3369,3.3369,0
2026-04-01T21:36:50.379Z,1775079410379,kalman,Tag in the middle - C3,6.0200,3.0000,4.8000,4.7700,2.1497,2.1497,0
2026-04-01T21:36:50.971Z,1775079410971,kalman,Tag in the middle - C3,6.7000,2.0000,4.8000,4.7700,3.3590,3.3590,0
2026-04-01T21:36:51.553Z,1775079411553,fp,Tag in the middle - C3,0.8620,6.9545,4.8000,4.7700,4.5033,4.5033,0
2026-04-01T21:36:52.125Z,1775079412125,gp,Tag in the middle - C3,2.8800,5.6400,4.8000,4.7700,2.1079,2.1079,0
